filename	original_path	target_path	target_dir	reason
OMOC_RIP-A_v1.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_RIP-A_v1.1.0.md	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-A_v1.1.0.md	docs/ssot/	Pattern match: OMOC_RIP-
OMOC_RIP-B_v1.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_RIP-B_v1.1.0.md	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-B_v1.1.0.md	docs/ssot/	Pattern match: OMOC_RIP-
OMOC_RIP-C_v1.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_RIP-C_v1.1.0.md	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-C_v1.1.0.md	docs/ssot/	Pattern match: OMOC_RIP-
OMOC_RIP-D_v1.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_RIP-D_v1.1.0.md	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-D_v1.1.0.md	docs/ssot/	Pattern match: OMOC_RIP-
OMOC_RIP-E_v1.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_RIP-E_v1.1.0.md	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-E_v1.1.0.md	docs/ssot/	Pattern match: OMOC_RIP-
OMOC_RIP-F_v1.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_RIP-F_v1.1.0.md	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-F_v1.1.0.md	docs/ssot/	Pattern match: OMOC_RIP-
OMOC_WP-001+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-001+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-001+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-002+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-002+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-002+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-003+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-003+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-003+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-004+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-004+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-004+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-005+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-005+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-005+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-006+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-006+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-006+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-007+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-007+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-007+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-008+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-008+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-008+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-009+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/OMOC_WP-009+RB+WI_v4.0.1-r2.md	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-009+RB+WI_v4.0.1-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC_ARCH_v8.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/Spartoi-OMOC_ARCH_v8.1.0.md	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC_ARCH_v8.1.0.md	docs/ssot/	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC_SRS_v8.1.0.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/Spartoi-OMOC_SRS_v8.1.0.md	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC_SRS_v8.1.0.md	docs/ssot/	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md	/workspaces/omoc-wt-full/docs/_quarantine/support_how_unclassified/Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC RIP__OMOC_RIP-A_v1.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC RIP__OMOC_RIP-A_v1.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/ssot/OMOC RIP__OMOC_RIP-A_v1.1.0.md.md	docs/ssot/	Pattern match: OMOC_RIP-
OMOC RIP__OMOC_RIP-B_v1.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC RIP__OMOC_RIP-B_v1.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/ssot/OMOC RIP__OMOC_RIP-B_v1.1.0.md.md	docs/ssot/	Pattern match: OMOC_RIP-
