file_path	artifact_type	classification	validity_for_closure	owner_field	decision_field	ca_method_markers	parity_scope	source_notes
.github/workflows/ci-omoc-gate.yml	yml	UNKNOWN	NO					
.github/workflows/ci.yml	yml	UNKNOWN	NO					
.github/workflows/cr_open_tt_probe.yml	yml	UNKNOWN	NO					
.github/workflows/dispatch_shim.yml	yml	UNKNOWN	NO					
.github/workflows/doc-validate.yml	yml	UNKNOWN	NO					
.github/workflows/omoc-gate.yml	yml	INDIRECT_ONLY	NO					
.opencode/agents/10-oracle.md	md	UNKNOWN	NO					
.opencode/agents/20-librarian.md	md	UNKNOWN	NO					
.opencode/agents/30-explore.md	md	UNKNOWN	NO					
.opencode/agents/40-sisyphus.md	md	UNKNOWN	NO					
.opencode/agents/Coordinator.md	md	UNKNOWN	NO					
.opencode/agents/Evidence-Collector.md	md	INDIRECT_ONLY	NO					
.opencode/agents/Fixer.md	md	UNKNOWN	NO					
.opencode/agents/Verifier.md	md	UNKNOWN	NO					
.opencode/agents/sisyphus.md	md	UNKNOWN	NO					
.opencode/opencode.json	json	UNKNOWN	NO					
.opencode/policy/agent_orchestration.json	json	INDIRECT_ONLY	NO					
.opencode/policy/omoc_policy.json	json	UNKNOWN	NO					
.opencode/policy/skills_runtime_policy.yaml	yaml	UNKNOWN	NO					
.opencode/skills/OMOC_SKILLS_PACK.md	md	INDIRECT_ONLY	NO					
.opencode/skills/first_skill/SKILL.md	md	UNKNOWN	NO					
.opencode/skills/index.md	md	UNKNOWN	NO					
.opencode/skills/omoc-skillpack-bootstrap/SKILL.md	md	UNKNOWN	NO					
.opencode/skills/skills_index.txt	txt	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-001+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-002+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-003+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO	"operator"				
docs/_omoc_inputs/normative/OMOC_WP-004+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-005+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-006+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-007+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-008+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-009+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-010+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-011+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-012+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-013+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/normative/OMOC_WP-014+RB+WI_v4.0.1-r2.md	md	INDIRECT_ONLY	NO	TBD				
docs/_omoc_inputs/rip/OMOC_RIP-A_v1.1.0.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/rip/OMOC_RIP-B_v1.1.0.md	md	INDIRECT_ONLY	NO		BLOCK			
docs/_omoc_inputs/rip/OMOC_RIP-C_v1.1.0.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/rip/OMOC_RIP-D_v1.1.0.md	md	INDIRECT_ONLY	NO		instruction			
docs/_omoc_inputs/rip/OMOC_RIP-E_v1.1.0.md	md	INDIRECT_ONLY	NO					
docs/_omoc_inputs/rip/OMOC_RIP-F_v1.1.0.md	md	INDIRECT_ONLY	NO					
